,brands,colors
0,Target,#CC0000
1,Dollar Tree,#FFB8DE
2,Family Dollar Stores,#D1495B
3,T.J. Maxx,#840032
4,Sears,#C49792
5,Saks Off Fifth,#FB8B24
6,Saks Fifth Avenue,#FFBD00
7,Five Below,#FBE300
8,Macy's,#006400
9,BJ's Wholesale Club,#55A630
10,Kohl's,#4D9078
11,Sears Home Services,#939F5C
12,Dollar General,#70E000
13,Barneys New York,#ADF7B6
14,Bloomingdale's,#B0C4B1
15,Costco Wholesale Corp.,#9197AE
16,Bottega Veneta,#489FB5
17,Kmart,#0077B6
18,DAISO,#072AC8
19,Lou & Grey,#480CA8
20,JCPenney,#9D4EDD
21,Amazon 4-Star,#E4AFFF
22,Hermès,#6F1D1B
23,Neiman Marcus,#99582A
